日期,时点,甘肃_日前市场出清总电量（MWh）
2026-01-02,19:30,8161.68
2026-01-02,19:45,8100.73
2026-01-02,20:00,8115.53
2026-01-02,20:15,8113.06
2026-01-02,20:30,8042.54
2026-01-02,20:45,8011.29
2026-01-02,21:00,7937.71
2026-01-02,21:15,7879.87
2026-01-02,21:30,7816.39
2026-01-02,21:45,7777.17
2026-01-02,22:00,7756.75
2026-01-02,22:15,8093.70
2026-01-02,22:30,7922.10
2026-01-02,22:45,7817.39
2026-01-02,23:00,7652.89
2026-01-02,23:15,7607.57
2026-01-02,23:30,7271.65
2026-01-02,23:45,7218.40
2026-01-02,24:00,7111.55
2026-01-03,00:15,7405.18
2026-01-03,00:30,7366
2026-01-03,00:45,7341.27
2026-01-03,01:00,7314.73
2026-01-03,01:15,7285.86
2026-01-03,01:30,7297.35
2026-01-03,01:45,7283.15
2026-01-03,02:00,7256.48
2026-01-03,02:15,7283.12
2026-01-03,02:30,7203.43
2026-01-03,02:45,7153.15
2026-01-03,03:00,7087.21
2026-01-03,03:15,7044.74
2026-01-03,03:30,7018.01
2026-01-03,03:45,7023.96
2026-01-03,04:00,6993.94
2026-01-03,04:15,6999.77
2026-01-03,04:30,7011.25
2026-01-03,04:45,6975.83
2026-01-03,05:00,6995.58
2026-01-03,05:15,7006.64
2026-01-03,05:30,7127.26
2026-01-03,05:45,7203.86
2026-01-03,06:00,7291.61
2026-01-03,06:15,7328.91
2026-01-03,06:30,7367.98
2026-01-03,06:45,7342.72
2026-01-03,07:00,7369.33
2026-01-03,07:15,7258.92
2026-01-03,07:30,7317.09
2026-01-03,07:45,7374.19
2026-01-03,08:00,7318.32
2026-01-03,08:15,7416.90
2026-01-03,08:30,7380.27
2026-01-03,08:45,7400.10
2026-01-03,09:00,7424.83
2026-01-03,09:15,7371.49
2026-01-03,09:30,7466.42
2026-01-03,09:45,7681.02
2026-01-03,10:00,7781.15
2026-01-03,10:15,7910.74
2026-01-03,10:30,7979.01
2026-01-03,10:45,8025.73
2026-01-03,11:00,8086.05
2026-01-03,11:15,8021.70
2026-01-03,11:30,8045.83
